Country,City,Type
Afghanistan,Kabul,Embassy
Australia,Adelaide,Honorary Consulate
Australia,Canberra,Embassy
Australia,Darwin,Consulate
Australia,Melbourne,Consulate General
Australia,Perth,Consulate
Australia,Sydney,Consulate General
Bangladesh,Chittagong,Honorary Consulate
Bangladesh,Dhaka,Embassy
Brazil,Belo Horizonte,Honorary Consulate General
Brazil,Brasilia,Embassy
Brazil,Recife-Pernambuco,Honorary Consulate General
Brazil,Rio de Janeiro,Honorary Consulate General
Brazil,Sao Paulo,Honorary Consulate General
Brunei,Bandar Seri Begawan,Embassy
Canada,Ottawa,Embassy
Canada,Toronto,Consulate General
Canada,Vancouver,Consulate General
China,Beijing,Embassy
China,Guangzhou,Consulate General
China,Hong Kong,Consulate General
Indonesia,Jakarta,Embassy
Iraq,Baghdad,Embassy
Japan,Fukuoka,Honorary Consulate
Japan,Osaka,Consulate General
Japan,Sapporo,Honorary Consulate
Japan,Tokyo,Embassy
Jordan,Amman,Embassy
Kazakhstan,Astana,Embassy
Lebanon,Beirut,Embassy
Malaysia,Johor Bahru,Consulate General
Malaysia,Kuala Lumpur,Embassy
Malaysia,Kuching,Consulate General
Malaysia,Penang,Consulate General
Malaysia,Sabah,Consulate General
Pakistan,Islamabad,Embassy
Pakistan,Karachi,Consulate General
Sri Lanka,Colombo,Embassy
Syria,Damascus,Embassy
Thailand,Bangkok,Embassy
Thailand,Songkhla,Consulate
Timor-Leste,Dili,Embassy
Timor-Leste,Pante Macassar,Embassy Extension Office
UAE,Dubai,Consulate General
Germany,Berlin,Embassy
