Country,City,Type,Latitude,Longitude
Afghanistan,Kabul,Embassy,34.52813,69.17233
Algeria,Algiers,Embassy,36.73225,3.08746
Argentina,Buenos Aires,Embassy,-34.61315,-58.37723
Australia,Canberra,Embassy,-35.28346,149.12807
Australia,Melbourne,Consulate General,-37.814,144.96332
Australia,Perth,Consulate General,-31.95224,115.8614
Australia,Sydney,Consulate General,-33.86785,151.20732
Austria,Vienna,Embassy,48.20849,16.37208
Azerbaijan,Baku,Embassy,40.37767,49.89201
Bahrain,Manama,Embassy,26.22787,50.58565
Bangladesh,Dhaka,Embassy,23.7104,90.40744
Belgium,Brussels,Embassy,50.85045,4.34878
Bosnia and Herzegovina,Sarajevo,Embassy,43.84864,18.35644
Brazil,Brasilia,Embassy,-15.77972,-47.92972
Brunei,Bandar Seri Begawan,Embassy,4.89035,114.94006
Bulgaria,Sofia,Embassy,42.69751,23.32415
Cambodia,Phnom Penh,Embassy,11.56245,104.91601
Canada,Ottawa,Embassy,45.41117,-75.69812
Canada,Toronto,Consulate General,43.70643,-79.39864
Canada,Vancouver,Consulate General,49.24966,-123.11934
Chile,Santiago,Embassy,-33.45694,-70.64827
China,Beijing,Embassy,39.9075,116.39723
China,Guangzhou,Consulate General,23.11667,113.25
China,Hong Kong,Consulate General,22.27832,114.17469
China,Shanghai,Consulate General,31.22222,121.45806
Colombia,Bogota,Embassy,4.60971,-74.08175
Croatia,Zagreb,Embassy,45.81444,15.97798
Cuba,Havana,Embassy,23.13302,-82.38304
Czech Republic,Prague,Embassy,50.08804,14.42076
Denmark,Copenhagen,Embassy,55.67594,12.56553
Ecuador,Quito,Embassy,-0.22985,-78.52495
Egypt,Cairo,Embassy,30.06263,31.24967
Ethiopia,Addis Ababa,Embassy,9.02497,38.74689
Fiji,Suva,Embassy,-18.13683,178.42531
Finland,Helsinki,Embassy,60.16952,24.93545
France,Paris,Embassy,48.85341,2.3488
France,Marseille,Consulate General,43.29695,5.38107
Germany,Berlin,Embassy,52.52437,13.41053
Germany,Frankfurt,Consulate General,50.11552,8.68417
Germany,Hamburg,Consulate General,53.55073,9.99302
Greece,Athens,Embassy,37.98376,23.72784
Holy See,Vatican City,Embassy,41.90268,12.45414
Hungary,Budapest,Embassy,47.49835,19.04045
